lon,lat,radar_freeboard_20_ku,radar_freeboard_smoothed_20_ku
270.206207,81.405198,-0.5257,
270.146495,81.404670,-0.1908,
270.126593,81.404492,-0.0547,
270.106692,81.404313,-0.1566,
269.430554,81.397636,,0.1070
269.410684,81.397422,,0.1065
269.390815,81.397207,,0.1054
269.370947,81.396991,,0.1038
269.351079,81.396774,,0.1017
269.331213,81.396556,,0.0991
269.311347,81.396338,,0.0969
269.291483,81.396118,,0.0956
269.271619,81.395897,,0.0917
269.251757,81.395675,,0.0877
269.231896,81.395452,,0.0877
269.212036,81.395228,,0.0824
269.192176,81.395004,,0.0776
269.172318,81.394778,-0.0508,0.0733
269.152460,81.394551,-0.0282,0.0694
269.132604,81.394323,0.0436,0.0661
269.112749,81.394094,0.0585,0.0631
269.092895,81.393864,0.0137,0.0604
269.073041,81.393634,0.0292,0.0579
269.053189,81.393402,0.0243,0.0556
269.033338,81.393169,0.0555,0.0535
269.013488,81.392935,0.0199,0.0516
268.993639,81.392700,0.0664,0.0498
268.973791,81.392464,-0.0307,0.0480
268.953944,81.392228,-0.2139,0.0462
268.934098,81.391990,,0.0446
268.914253,81.391751,,0.0430
268.894410,81.391511,,0.0416
268.874567,81.391270,,0.0378
268.854726,81.391029,,0.0341
268.834886,81.390786,,0.0303
268.815047,81.390542,,0.0292
268.795209,81.390297,,0.0258
268.775371,81.390052,,0.0226
268.755536,81.389805,,0.0194
268.735701,81.389557,,0.0164
268.715867,81.389308,,0.0135
268.696035,81.389059,,0.0108
268.676204,81.388808,,0.0081
268.656373,81.388556,,0.0056
268.636544,81.388303,,0.0032
268.616716,81.388050,,0.0010
268.596890,81.387795,,-0.0011
268.577064,81.387539,,-0.0031
268.557240,81.387282,,-0.0032
268.537416,81.387025,,-0.0049
268.517594,81.386766,,-0.0066
268.497773,81.386506,,-0.0066
268.477953,81.386246,,-0.0066
268.458134,81.385984,,-0.0066
268.438317,81.385721,,-0.0066
268.418501,81.385458,,-0.0066
268.398686,81.385193,,-0.0066
268.378872,81.384927,,-0.0066
268.359059,81.384661,,-0.0066
268.339248,81.384393,,-0.0066
268.319438,81.384124,,-0.0066
268.299629,81.383855,,-0.0066
268.279821,81.383584,,-0.0066
268.260014,81.383312,,-0.0066
268.240209,81.383040,,-0.0066
268.220405,81.382766,,-0.0066
268.200602,81.382492,,-0.0066
268.180800,81.382216,,-0.0066
268.161000,81.381939,,-0.0066
268.141200,81.381662,,-0.0066
268.121403,81.381383,,-0.0066
268.101606,81.381104,,-0.0066
268.081811,81.380823,,-0.0066
268.062016,81.380542,,-0.0066
268.042223,81.380259,,-0.0066
268.022432,81.379976,,-0.0066
268.002641,81.379691,,-0.0066
267.982852,81.379406,,-0.0066
267.963064,81.379119,,-0.0066
267.943278,81.378832,,-0.0066
267.923493,81.378543,,-0.0066
267.903709,81.378254,,-0.0066
267.883927,81.377963,,-0.0066
267.864146,81.377672,,-0.0066
267.844366,81.377379,,-0.0066
267.824587,81.377086,,-0.0066
267.804810,81.376791,,-0.0066
267.785034,81.376496,,-0.0066
267.765259,81.376200,,-0.0066
267.745486,81.375902,,-0.0066
267.725714,81.375604,,-0.0066
267.705943,81.375304,,-0.0066
267.686174,81.375004,,-0.0066
267.666407,81.374703,,-0.0066
267.646640,81.374400,,-0.0066
267.626875,81.374097,,-0.0066
267.607111,81.373793,,-0.0066
267.587349,81.373487,,-0.0066
267.567588,81.373181,,-0.0066
267.547828,81.372874,,-0.0066
267.528070,81.372565,,-0.0066
267.508313,81.372256,,-0.0066
267.488558,81.371946,,-0.0066
267.468804,81.371634,,-0.0066
267.449051,81.371322,,-0.0066
267.429300,81.371009,,-0.0066
267.409550,81.370695,,-0.0066
267.389802,81.370380,,-0.0066
267.370055,81.370063,,-0.0066
267.350309,81.369746,,-0.0066
267.330565,81.369428,,-0.0066
267.310823,81.369109,,-0.0066
267.291081,81.368789,,-0.0066
267.271341,81.368467,,-0.0066
267.251602,81.368145,,-0.0066
267.231865,81.367822,,-0.0066
267.212130,81.367498,,-0.0066
267.192396,81.367173,,-0.0066
267.172663,81.366847,,-0.0066
267.152932,81.366520,,-0.0066
267.133202,81.366192,,-0.0066
267.113474,81.365863,,-0.0066
267.093747,81.365533,,-0.0066
267.074022,81.365202,,-0.0066
267.054298,81.364870,,-0.0066
267.034576,81.364537,,-0.0066
267.014855,81.364203,,-0.0066
266.995135,81.363868,,-0.0066
266.975418,81.363532,,-0.0066
266.955702,81.363195,,-0.0066
266.935987,81.362857,,-0.0066
266.738924,81.359423,-0.9030,
266.502655,81.355173,0.2836,
266.423949,81.353725,,-0.0902
266.404277,81.353360,,-0.0904
266.384606,81.352995,,-0.0904
266.364937,81.352628,,-0.0904
266.345269,81.352261,,-0.0904
266.325604,81.351893,,-0.0904
266.305939,81.351523,,-0.0904
266.286277,81.351153,,-0.0904
266.266616,81.350781,,-0.0904
266.246957,81.350409,,-0.0906
265.697191,81.339585,,0.1223
265.677582,81.339184,,0.1223
265.657975,81.338782,,0.1223
265.638369,81.338379,,0.1223
265.618765,81.337976,,0.1223
265.599164,81.337571,,0.1224
265.579563,81.337165,,0.1226
265.559965,81.336759,,0.1227
265.540368,81.336351,,0.1228
265.520773,81.335942,,0.1230
265.501180,81.335533,,0.1231
265.481589,81.335122,,0.1231
265.461999,81.334711,,0.1225
265.442412,81.334298,,0.1219
265.422826,81.333885,,0.1213
265.403242,81.333470,,0.1207
265.383660,81.333055,,0.1201
265.364079,81.332638,,0.1195
265.344501,81.332221,,0.1190
265.324924,81.331802,,0.1184
265.305349,81.331383,,0.1178
265.285776,81.330963,,0.1172
265.266205,81.330542,,0.1166
265.246636,81.330119,,0.1160
265.227069,81.329696,,0.1154
265.207504,81.329272,,0.1148
265.187941,81.328847,,0.1142
265.168379,81.328420,,0.1139
265.148819,81.327993,,0.1137
265.129262,81.327565,,0.1134
265.109706,81.327136,,0.1131
265.090152,81.326706,,0.1123
265.070600,81.326275,,0.1114
265.051050,81.325843,,0.1106
265.031502,81.325410,,0.1097
265.011956,81.324976,,0.1089
264.992411,81.324541,,0.1080
264.972869,81.324105,,0.1072
264.953329,81.323668,,0.1063
264.933790,81.323230,,0.1054
264.914254,81.322792,,0.1046
264.894719,81.322352,,0.1043
264.875186,81.321911,,0.1033
264.855655,81.321469,,0.1024
264.836127,81.321027,,0.1016
264.816600,81.320583,,0.1007
264.797075,81.320138,,0.0998
264.777552,81.319693,,0.0988
264.758031,81.319246,,0.0978
264.738512,81.318798,,0.0976
264.718995,81.318350,,0.0964
264.699480,81.317900,,0.0951
264.679967,81.317450,,0.0939
264.660456,81.316998,,0.0926
264.640947,81.316546,,0.0914
264.621440,81.316093,,0.0901
264.601934,81.315638,,0.0888
264.582431,81.315183,,0.0884
264.562930,81.314727,,0.0869
264.543430,81.314269,,0.0855
264.523933,81.313811,,0.0841
264.504438,81.313352,,0.0826
264.484945,81.312892,,0.0812
264.465454,81.312431,,0.0804
264.445965,81.311968,,0.0801
264.426478,81.311505,,0.0798
264.406993,81.311041,,0.0795
264.387510,81.310576,,0.0792
264.368029,81.310110,,0.0787
264.348550,81.309643,,0.0770
264.329074,81.309175,,0.0754
264.309599,81.308706,,0.0738
264.290127,81.308237,,0.0721
264.270656,81.307766,,0.0705
264.251188,81.307294,,0.0688
264.231722,81.306821,,0.0672
264.212257,81.306347,,0.0656
264.192795,81.305873,,0.0639
264.173335,81.305397,,0.0623
264.153878,81.304920,,0.0606
264.134422,81.304443,,0.0590
264.114968,81.303964,,0.0586
264.095517,81.303485,,0.0583
264.076067,81.303004,,0.0580
264.056619,81.302523,,0.0577
264.037174,81.302040,,0.0571
264.017731,81.301557,,0.0568
263.998290,81.301073,,0.0565
263.978851,81.300587,,0.0553
263.959414,81.300101,,0.0540
263.939979,81.299614,,0.0528
263.920547,81.299126,,0.0516
263.901116,81.298636,,0.0503
263.881688,81.298146,,0.0491
263.862262,81.297655,,0.0484
263.842838,81.297163,,0.0473
263.823416,81.296670,,0.0462
263.803997,81.296176,,0.0451
263.784579,81.295681,,0.0440
263.765163,81.295185,,0.0429
263.745750,81.294688,,0.0424
