lon,lat,radar_freeboard_20_ku,radar_freeboard_smoothed_20_ku
286.697914,79.189282,,0.4905
286.685201,79.191069,,0.4905
286.672485,79.192855,,0.4886
286.659764,79.194641,,0.4877
286.647039,79.196427,,0.4869
286.634310,79.198212,,0.4854
286.621578,79.199997,,0.4838
286.608841,79.201781,,0.4821
286.596100,79.203564,,0.4804
286.583355,79.205347,,0.4787
286.570605,79.207130,,0.4773
286.557852,79.208912,,0.4755
286.545095,79.210693,,0.4745
286.532337,79.212474,,0.4736
286.519571,79.214254,,0.4728
286.506801,79.216034,,0.4722
286.494027,79.217814,,0.4718
286.481253,79.219592,,0.4716
265.582401,81.036169,,0.1464
265.564072,81.037020,,0.1464
265.067895,81.059658,,0.2866
265.049470,81.060484,,0.2866
265.031043,81.061309,,0.2846
265.012611,81.062134,,0.2826
264.994177,81.062957,,0.2803
264.975744,81.063779,,0.2779
264.957302,81.064601,,0.2756
264.938858,81.065422,,0.2740
264.920410,81.066242,,0.2740
264.901958,81.067060,,0.2740
264.883504,81.067879,,0.2710
264.865046,81.068696,,0.2703
264.846585,81.069512,,0.2671
264.828120,81.070327,,0.2662
264.809652,81.071142,,0.2627
264.791181,81.071955,,0.2593
264.772707,81.072768,,0.2559
264.754229,81.073580,,0.2524
264.735748,81.074391,,0.2490
264.717264,81.075201,,0.2455
264.698777,81.076010,,0.2420
264.680286,81.076818,,0.2386
264.661792,81.077626,,0.2351
264.643299,81.078432,,0.2328
264.624798,81.079237,,0.2291
264.606294,81.080042,,0.2253
264.587787,81.080846,,0.2215
264.569277,81.081649,,0.2177
264.550763,81.082450,,0.2166
264.532246,81.083252,,0.2157
264.513726,81.084052,0.2174,0.2147
264.495202,81.084851,,0.2111
264.476676,81.085649,,0.2075
264.458146,81.086447,,0.2039
264.439612,81.087243,,0.2033
264.421076,81.088039,,0.2027
264.402536,81.088834,,0.2018
264.383993,81.089628,,0.2017
264.365446,81.090421,,0.2016
264.346897,81.091213,,0.2015
264.328344,81.092004,,0.2014
264.309788,81.092794,,0.2013
264.291233,81.093584,,0.2012
264.272671,81.094372,,0.2010
264.254105,81.095160,,0.2009
264.235540,81.095946,,0.2015
264.216968,81.096732,,0.2020
264.198398,81.097517,,0.2026
264.179819,81.098301,,0.2030
264.161238,81.099084,,0.2036
264.142653,81.099866,,0.2040
264.124065,81.100647,,0.2047
264.105474,81.101428,,0.2054
264.086879,81.102207,,0.2061
264.068281,81.102986,,0.2067
264.049680,81.103764,,0.2074
264.031081,81.104540,,0.2081
264.012474,81.105316,,0.2088
263.993864,81.106091,,0.2095
263.975250,81.106865,,0.2102
263.956633,81.107638,,0.2102
263.938013,81.108411,,0.2110
263.919390,81.109182,,0.2118
263.900764,81.109952,,0.2126
263.882134,81.110722,,0.2133
263.863502,81.111491,,0.2139
263.844866,81.112258,,0.2144
263.826227,81.113025,,0.2149
263.807585,81.113791,,0.2154
263.788939,81.114556,,0.2159
263.770291,81.115320,,0.2163
263.751639,81.116084,,0.2168
263.732985,81.116846,,0.2173
263.714327,81.117607,,0.2168
263.695666,81.118368,,0.2161
263.677002,81.119127,,0.2155
263.658335,81.119886,,0.2149
263.639664,81.120644,,0.2143
263.620991,81.121401,,0.2137
263.602314,81.122157,,0.2130
263.583635,81.122912,,0.2124
263.564956,81.123666,,0.2118
263.546270,81.124419,,0.2113
263.527581,81.125171,,0.2099
263.508889,81.125923,,0.2085
263.490198,81.126673,,0.2071
263.471500,81.127423,,0.2057
263.452798,81.128171,,0.2043
263.434094,81.128919,,0.2029
263.415386,81.129666,,0.2015
263.396675,81.130412,,0.2002
263.377961,81.131157,,0.1988
263.359244,81.131901,,0.1974
263.340524,81.132645,,0.1960
263.321801,81.133387,,0.1946
263.303075,81.134128,,0.1932
263.284346,81.134869,,0.1918
263.265614,81.135608,,0.1904
263.246878,81.136347,,0.1890
263.228140,81.137085,,0.1876
263.209399,81.137822,,0.1862
263.190654,81.138558,,0.1848
263.171907,81.139293,,0.1845
263.153156,81.140027,,0.1832
263.134402,81.140760,,0.1820
263.115646,81.141492,,0.1808
263.096886,81.142224,,0.1796
263.078123,81.142954,,0.1784
263.059358,81.143684,,0.1772
263.040588,81.144412,,0.1760
263.021816,81.145140,,0.1747
263.003042,81.145867,,0.1735
262.984269,81.146592,,0.1723
262.965487,81.147317,,0.1711
262.946704,81.148042,,0.1699
262.927917,81.148765,,0.1687
262.909127,81.149487,,0.1675
262.890334,81.150208,,0.1662
262.871538,81.150929,,0.1650
262.852739,81.151648,,0.1646
262.833937,81.152367,,0.1642
262.815132,81.153084,,0.1638
262.796324,81.153801,,0.1633
262.777513,81.154517,,0.1629
262.758699,81.155232,,0.1624
262.739882,81.155946,,0.1620
262.721062,81.156659,,0.1615
262.702239,81.157371,,0.1611
262.683414,81.158082,,0.1606
262.664585,81.158792,,0.1602
262.645753,81.159502,,0.1597
262.626918,81.160210,,0.1593
262.608080,81.160918,,0.1589
262.589240,81.161624,,0.1584
