lon,lat,radar_freeboard_20_ku,radar_freeboard_smoothed_20_ku
291.955868,79.765628,,0.1805
291.941716,79.767230,,0.1805
291.927559,79.768831,,0.1805
291.913398,79.770432,,0.1805
291.899232,79.772032,,0.1805
291.885062,79.773632,,0.1805
291.870888,79.775231,,0.1805
291.856710,79.776830,,0.1805
291.842527,79.778428,,0.1805
291.828339,79.780025,,0.1805
291.814148,79.781622,,0.1805
291.799952,79.783218,,0.1805
291.785752,79.784814,,0.1805
291.771547,79.786409,,0.1805
291.757339,79.788003,,0.1805
291.743125,79.789597,,0.1805
291.728908,79.791190,,0.1805
291.714686,79.792782,,0.1805
291.700460,79.794374,,0.1805
291.686230,79.795966,,0.1805
291.671995,79.797557,,0.1805
291.657756,79.799147,,0.1805
291.643517,79.800736,,0.1805
291.629265,79.802325,,0.1805
291.615017,79.803913,,0.1805
291.600760,79.805501,,0.1805
291.586500,79.807088,,0.1805
291.572235,79.808675,,0.1805
291.557966,79.810261,,0.1805
291.543692,79.811846,,0.1805
291.529414,79.813431,,0.1805
291.515132,79.815015,,0.1805
291.500846,79.816598,,0.1805
291.486554,79.818181,,0.1805
291.472259,79.819764,,0.1805
291.457960,79.821346,,0.1791
291.443656,79.822927,,0.1777
291.429347,79.824507,,0.1762
291.415035,79.826087,,0.1748
291.400718,79.827666,,0.1734
291.386397,79.829245,,0.1720
291.372071,79.830823,,0.1706
291.357741,79.832401,,0.1692
291.343407,79.833978,,0.1678
291.329068,79.835554,,0.1664
291.314725,79.837130,,0.1650
291.300382,79.838705,,0.1636
291.286030,79.840279,,0.1622
291.271674,79.841853,,0.1607
291.257314,79.843426,,0.1593
291.242949,79.844999,,0.1579
291.228580,79.846571,,0.1565
291.214207,79.848142,,0.1551
291.199829,79.849713,,0.1537
291.185444,79.851284,,0.1523
291.171061,79.852853,,0.1509
291.156670,79.854422,,0.1495
291.142275,79.855991,,0.1481
291.127875,79.857558,,0.1466
291.113472,79.859126,,0.1452
291.099063,79.860692,,0.1438
291.084651,79.862258,,0.1424
291.070234,79.863824,,0.1410
291.055813,79.865388,,0.1396
291.041388,79.866953,,0.1382
291.026958,79.868516,,0.1368
291.012524,79.870079,,0.1354
290.998086,79.871641,,0.1340
290.983643,79.873203,,0.1326
290.969196,79.874764,,0.1311
290.954745,79.876325,,0.1297
290.940289,79.877884,,0.1297
290.925829,79.879444,,0.1297
290.911364,79.881002,,0.1297
290.896896,79.882560,,0.1297
290.882422,79.884118,,0.1297
290.867945,79.885674,,0.1297
290.853463,79.887231,,0.1297
290.838977,79.888786,,0.1297
290.824486,79.890341,,0.1297
290.809991,79.891895,,0.1297
290.795492,79.893449,,0.1297
290.780989,79.895002,,0.1297
290.766481,79.896555,,0.1297
290.751969,79.898107,,0.1297
290.737452,79.899658,,0.1297
290.722931,79.901209,,0.1297
290.708406,79.902759,,0.1297
290.693876,79.904308,,0.1297
290.679342,79.905857,,0.1297
290.664803,79.907405,,0.1297
290.650261,79.908952,,0.1297
290.635713,79.910499,,0.1297
290.621162,79.912046,,0.1297
290.606603,79.913592,,0.1297
290.592047,79.915136,,0.1297
290.577482,79.916681,,0.1297
290.562913,79.918225,,0.1297
290.548340,79.919768,,0.1297
290.533762,79.921310,,0.1297
290.519181,79.922852,,0.1297
290.504594,79.924394,,0.1297
290.490004,79.925934,,0.1297
290.475409,79.927475,,0.1297
290.460809,79.929014,,0.1297
290.446206,79.930553,,0.1297
290.431597,79.932091,,0.1297
290.416985,79.933629,,0.1297
290.402368,79.935166,,0.1297
290.387747,79.936702,,0.1297
290.373126,79.938237,,0.1297
290.358492,79.939773,,0.1297
290.343858,79.941307,,0.1297
290.329219,79.942841,,0.1297
290.314577,79.944374,,0.1297
290.299929,79.945907,,0.1297
290.285278,79.947439,,0.1297
290.270622,79.948970,,0.1297
290.255962,79.950501,,0.1297
290.241297,79.952031,,0.1297
290.226628,79.953561,,0.1297
290.211955,79.955090,,0.1297
290.197277,79.956618,,0.1297
290.182595,79.958145,,0.1297
290.167909,79.959672,,0.1297
290.153218,79.961199,,0.1297
290.138523,79.962724,,0.1297
290.123824,79.964249,,0.1298
290.109120,79.965774,,0.1301
290.094412,79.967298,,0.1303
290.079699,79.968821,,0.1306
290.064982,79.970343,,0.1308
290.050261,79.971865,,0.1310
290.035535,79.973387,,0.1313
290.020806,79.974907,,0.1315
290.006071,79.976427,,0.1317
289.991329,79.977947,,0.1320
289.976590,79.979466,,0.1322
289.961842,79.980984,,0.1324
289.947091,79.982501,,0.1327
289.932334,79.984018,,0.1329
289.917574,79.985534,,0.1331
289.902809,79.987050,,0.1334
289.888040,79.988565,,0.1336
289.873266,79.990079,,0.1338
289.858489,79.991593,,0.1341
289.843706,79.993106,,0.1343
289.828920,79.994618,,0.1345
289.814128,79.996130,,0.1348
289.799333,79.997641,,0.1350
289.784533,79.999152,,0.1352
289.769729,80.000662,,0.1355
289.754921,80.002171,,0.1357
289.740108,80.003680,,0.1359
289.725291,80.005188,,0.1362
289.710469,80.006695,,0.1364
289.695643,80.008202,,0.1366
289.680813,80.009708,,0.1369
289.665978,80.011213,,0.1371
289.651139,80.012718,,0.1373
289.636296,80.014222,,0.1376
289.621444,80.015726,,0.1378
289.606592,80.017229,,0.1380
289.591736,80.018731,,0.1383
289.576875,80.020233,,0.1384
289.562010,80.021734,,0.1384
289.547140,80.023234,,0.1384
289.532266,80.024734,,0.1384
289.517388,80.026233,,0.1384
289.502505,80.027731,,0.1384
269.067096,81.270514,,-0.0931
269.047780,81.271056,,-0.0931
269.028457,81.271596,,-0.0931
269.009136,81.272136,,-0.0931
268.989808,81.272675,,-0.0931
268.970478,81.273213,,-0.0931
268.951150,81.273749,,-0.0931
268.931815,81.274285,,-0.0931
268.912478,81.274820,,-0.0931
268.893143,81.275354,,-0.0931
268.873801,81.275887,,-0.0931
268.854462,81.276419,,-0.0931
268.835116,81.276951,,-0.0931
268.815767,81.277481,,-0.0931
268.796421,81.278010,,-0.0931
268.777067,81.278538,,-0.0931
268.757716,81.279065,,-0.0931
268.738358,81.279592,,-0.0931
268.719003,81.280117,,-0.0931
268.699640,81.280641,,-0.0931
268.680275,81.281165,,-0.0931
268.660913,81.281687,,-0.0931
268.641543,81.282209,,-0.0931
268.622172,81.282729,,-0.0931
268.602798,81.283249,,-0.0931
268.583421,81.283768,,-0.0931
268.564048,81.284285,,-0.0931
268.544667,81.284802,,-0.0931
268.525289,81.285318,,-0.0931
268.505909,81.285832,,-0.0931
268.486521,81.286346,,-0.0931
268.467132,81.286859,,-0.0931
268.447745,81.287371,,-0.0931
268.428355,81.287882,,-0.0931
268.408959,81.288392,,-0.0931
268.389560,81.288901,,-0.0931
268.370160,81.289409,,-0.0931
268.350756,81.289916,,-0.0931
268.331356,81.290422,,-0.0931
268.311948,81.290928,,-0.0931
268.292539,81.291432,,-0.0931
268.273132,81.291935,,-0.0931
268.253718,81.292437,,-0.0931
268.234306,81.292939,,-0.0931
268.214887,81.293439,,-0.0931
268.195466,81.293938,,-0.0931
268.176043,81.294437,,-0.0931
268.156619,81.294934,,-0.0931
268.137196,81.295431,,-0.0931
268.117772,81.295926,,-0.0931
268.098340,81.296421,,-0.0931
268.078907,81.296915,,-0.0931
268.059476,81.297407,,-0.0931
268.040038,81.297899,,-0.0931
268.020597,81.298390,,-0.0931
268.001155,81.298879,,-0.0934
267.981715,81.299368,,-0.0941
267.962268,81.299856,,-0.0951
267.942820,81.300343,,-0.0965
267.923374,81.300829,,-0.0981
267.903921,81.301314,,-0.1001
267.884466,81.301798,,-0.1025
267.865008,81.302281,,-0.1052
267.845554,81.302763,,-0.1078
267.826092,81.303244,,-0.1105
267.806633,81.303724,,-0.1132
267.787167,81.304203,,-0.1159
267.767704,81.304681,,-0.1186
267.748234,81.305158,,-0.1212
267.728767,81.305634,,-0.1239
267.709298,81.306109,,-0.1266
267.689821,81.306584,,-0.1293
267.670343,81.307057,,-0.1320
267.650862,81.307529,,-0.1346
267.631380,81.308001,,-0.1373
267.611900,81.308471,,-0.1400
267.592414,81.308941,,-0.1427
267.572924,81.309409,,-0.1454
267.553434,81.309877,,-0.1481
267.533941,81.310343,,-0.1507
267.514451,81.310809,,-0.1534
267.494954,81.311273,,-0.1561
267.475455,81.311737,,-0.1588
267.455954,81.312200,,-0.1615
267.436456,81.312661,,-0.1641
267.416956,81.313122,,-0.1668
267.397448,81.313582,,-0.1695
267.377944,81.314041,,-0.1722
267.358433,81.314498,,-0.1749
267.338925,81.314955,,-0.1775
267.319410,81.315411,,-0.1799
267.299893,81.315866,,-0.1819
267.280378,81.316320,,-0.1832
267.260857,81.316773,,-0.1839
267.085087,81.320806,-0.6371,
267.065547,81.321249,-0.8623,
265.712800,81.349474,,0.0095
265.693131,81.349849,,0.0095
265.673462,81.350223,,0.0095
265.653790,81.350596,,0.0095
265.634117,81.350967,,0.0095
265.614442,81.351338,,0.0095
265.594766,81.351708,,0.0095
265.575087,81.352077,,0.0095
265.555408,81.352445,,0.0095
265.535726,81.352812,,0.0095
265.516043,81.353178,,0.0095
265.496358,81.353543,,0.0089
265.476672,81.353907,,0.0072
265.456989,81.354270,,0.0055
265.437299,81.354632,,0.0039
265.417613,81.354993,,0.0022
265.397920,81.355353,,0.0005
265.378231,81.355712,,-0.0011
265.358535,81.356070,,-0.0024
265.338842,81.356427,,-0.0050
265.319143,81.356783,,-0.0075
265.299447,81.357138,,-0.0100
265.279745,81.357492,,-0.0116
265.260041,81.357845,,-0.0144
265.240336,81.358197,,-0.0163
265.220633,81.358548,,-0.0182
265.200925,81.358899,,-0.0182
265.181214,81.359248,,-0.0183
265.161502,81.359596,,-0.0195
265.141794,81.359943,,-0.0197
265.122079,81.360289,,-0.0199
265.102367,81.360635,,-0.0201
265.082649,81.360979,,-0.0203
265.062930,81.361322,,-0.0205
265.043214,81.361664,,-0.0207
265.023491,81.362006,,-0.0208
265.003766,81.362346,,-0.0210
264.984041,81.362685,,-0.0213
264.964318,81.363024,,-0.0215
264.944589,81.363361,,-0.0218
264.924864,81.363697,,-0.0243
264.905132,81.364033,,-0.0269
264.885404,81.364367,,-0.0294
264.865669,81.364700,,-0.0319
264.845933,81.365033,,-0.0345
264.826195,81.365364,,-0.0370
264.806456,81.365695,,-0.0395
264.786715,81.366024,,-0.0421
264.766973,81.366353,,-0.0446
264.747229,81.366680,,-0.0471
264.727484,81.367007,,-0.0497
264.707738,81.367332,,-0.0522
264.687994,81.367657,,-0.0548
264.668245,81.367980,,-0.0573
264.648494,81.368303,,-0.0598
264.628742,81.368624,,-0.0606
264.608988,81.368945,,-0.0620
264.589232,81.369264,,-0.0634
264.569481,81.369583,,-0.0648
264.549723,81.369900,,-0.0653
264.529968,81.370217,,-0.0664
264.510207,81.370533,,-0.0669
264.490450,81.370847,,-0.0673
264.470686,81.371161,,-0.0678
264.450921,81.371473,,-0.0681
264.431154,81.371785,,-0.0690
264.411386,81.372096,,-0.0694
264.391617,81.372405,,-0.0697
264.371846,81.372714,,-0.0715
264.352079,81.373022,,-0.0732
264.332305,81.373328,,-0.0750
264.312530,81.373634,,-0.0768
264.292754,81.373939,,-0.0786
264.272976,81.374242,,-0.0803
264.253202,81.374545,,-0.0803
264.233422,81.374847,,-0.0803
264.213645,81.375148,,-0.0803
264.193862,81.375447,,-0.0803
264.174082,81.375746,,-0.0803
264.154296,81.376044,,-0.0803
264.134509,81.376341,,-0.0803
264.114721,81.376636,,-0.0803
264.094931,81.376931,,-0.0803
264.075139,81.377225,,-0.0803
264.055347,81.377518,,-0.0803
264.035553,81.377810,,-0.0803
264.015757,81.378101,,-0.0803
263.995961,81.378390,,-0.0803
263.976168,81.378679,,-0.0803
263.956369,81.378967,,-0.0803
263.936569,81.379254,,-0.0803
263.916772,81.379540,,-0.0803
263.896969,81.379825,,-0.0803
263.877164,81.380108,,-0.0803
263.857359,81.380391,,-0.0803
263.837552,81.380673,,-0.0803
263.817744,81.380954,,-0.0803
263.797935,81.381234,,-0.0803
263.778124,81.381513,,-0.0803
263.758318,81.381791,,-0.0803
263.738505,81.382068,,-0.0803
263.718690,81.382344,,-0.0803
263.698875,81.382619,,-0.0803
263.679058,81.382893,,-0.0803
263.659245,81.383165,,-0.0803
263.639426,81.383437,,-0.0803
263.619606,81.383708,,-0.0803
263.599789,81.383978,,-0.0803
263.579966,81.384247,,-0.0803
263.560147,81.384515,,-0.0803
263.540322,81.384782,,-0.0803
263.520495,81.385048,,-0.0803
263.500668,81.385313,,-0.0803
263.480844,81.385577,,-0.0803
